suspectible,exposed,infected,carrier,dead,recovered
464420,6794,27276,3386,4049,494075
463313,6647,26857,3331,4062,495790
462202,6643,26373,3260,4075,497447
461141,6530,25922,3205,4088,499114
460128,6368,25448,3169,4102,500785
459060,6321,25021,3144,4111,502343
458028,6213,24607,3080,4125,503947
457036,6105,24135,3012,4138,505574
456092,5984,23669,2928,4149,507178
455149,5850,23271,2875,4166,508689
454181,5801,22885,2786,4174,510173
453304,5659,22404,2758,4184,511691
452431,5497,22023,2714,4195,513140
451554,5380,21635,2658,4206,514567
450685,5320,21269,2576,4221,515929
449864,5185,20928,2508,4234,517281
449038,5072,20552,2469,4245,518624
448239,4985,20142,2445,4256,519933
447438,4985,19644,2415,4266,521252
446681,4882,19287,2398,4273,522479
445925,4765,18915,2379,4287,523729
445157,4677,18579,2331,4296,524960
444430,4562,18193,2295,4307,526213
443713,4490,17893,2215,4316,527373
442994,4441,17522,2153,4330,528560
442319,4354,17216,2116,4338,529657
441650,4258,16944,2061,4343,530744
440970,4235,16591,2000,4351,531853
440332,4133,16293,1970,4360,532912
439723,3980,15998,1936,4368,533995
439117,3887,15703,1873,4377,535043
438448,3888,15430,1857,4387,535990
437871,3781,15171,1808,4398,536971
437306,3642,14945,1755,4408,537944
436773,3566,14622,1703,4418,538918
436257,3442,14305,1658,4424,539914
435714,3379,14017,1623,4431,540836
435190,3261,13812,1594,4444,541699
434646,3285,13515,1552,4451,542551
434173,3137,13283,1528,4459,543420
433678,3099,13007,1504,4468,544244
433231,3008,12786,1446,4474,545055
432777,2930,12515,1421,4481,545876
432297,2867,12251,1375,4486,546724
431866,2801,11984,1373,4494,547482
431389,2818,11684,1333,4502,548274
430958,2754,11402,1317,4512,549057
430534,2720,11160,1268,4520,549798
430130,2690,10888,1251,4526,550515
429749,2582,10691,1233,4531,551214
429351,2514,10454,1228,4538,551915
428949,2469,10244,1202,4542,552594
428530,2485,9989,1186,4549,553261
428165,2423,9782,1152,4556,553922
427772,2399,9587,1145,4560,554537
427396,2383,9363,1131,4567,555160
427043,2322,9159,1133,4570,555773
426685,2278,8987,1097,4570,556383
426320,2269,8808,1067,4575,556961
425986,2215,8633,1068,4583,557515
425657,2112,8533,1067,4588,558043
425330,2061,8341,1056,4592,558620
424974,2064,8185,1034,4598,559145
424645,2004,8036,1026,4604,559685
424371,1938,7830,1002,4610,560249
424060,1938,7650,989,4614,560749
423799,1858,7500,955,4615,561273
423506,1855,7342,914,4620,561763
423248,1779,7211,872,4623,562267
422978,1747,7026,864,4626,562759
422705,1680,6885,847,4627,563256
422406,1683,6723,809,4634,563745
422137,1652,6647,771,4639,564154
421876,1611,6577,736,4639,564561
421652,1579,6423,724,4644,564978
421414,1550,6291,727,4648,565370
421187,1518,6173,707,4651,565764
420987,1458,6051,702,4653,566149
420783,1372,5959,683,4658,566545
420585,1312,5837,667,4659,566940
420366,1297,5719,652,4662,567304
420181,1245,5602,625,4663,567684
419983,1227,5457,599,4666,568068
419793,1215,5315,579,4671,568427
419614,1198,5198,555,4674,568761
419412,1179,5069,556,4678,569106
419239,1166,4958,537,4679,569421
